"","title","year","topic"
"365","Deuxième_vague_réflexions_sur_les_pratiques_curatoriales+_UTF8.txt",2013,6
"366","DJ_SET_JAMIE_XX_+_GUEST,_soirée_caritative_en_faveur_des_Philippines+_UTF8.txt",2013,8
"367","Dominique_Gonzalez-Foerster+_UTF8.txt",2013,5
"368","Donatien_Grau_(II).txt",2013,5
"369","Donatien_Grau_(III)+_UTF8.txt",2013,6
"370","Donatien_Grau_(IV)+_UTF8.txt",2013,6
"371","Donatien_Grau+_UTF8.txt",2013,6
"372","Emmanuelle_Huynh.txt",2013,3
"373","Energie_Sombre.txt",2013,4
"374","Everything_is_Material+_UTF8.txt",2013,8
"375","Exposition_d’Erwin_Wurm.txt",2013,1
"376","Exposition_de_Roger_Ballen.txt",2013,3
"377","Félicia_Atkinson,_concert+_UTF8.txt",2013,2
"378","Free_time_a_cycle+_UTF8.txt",2013,4
"379","Free_Time+_UTF8.txt",2013,4
"380","Gauthier_Leroy.txt",2013,6
"381","Gudrun_Gut.txt",2013,2
"382","Hell_As_Pavilion_-_Les_Gens_de_la_Caverne.txt",2013,3
"383","Hell_as_pavilion_-_The_Black_Circle.txt",2013,5
"384","Hell_as_Pavilion_-_The_Callas_and_the_Callasettes.txt",2013,2
"385","Hell_As_Pavilion_-_The_Film_Appendix.txt",2013,3
"386","HUMMING_HUMANS+_UTF8.txt",2013,4
"387","Inauguration_de_l’Académie_de_l’Arbre+_UTF8.txt",2013,6
"388","Incorporations+_UTF8.txt",2013,6
"389","Installation_:_projections_de_Mattia_Biagi.txt",2013,3
"390","Installation_d'Alberto_Tadiello.txt",2013,3
"391","Jean_Painlevé_et_le_cinéma_scientifique+_UTF8.txt",2013,3
"392","Jean-Michel_Pancin.txt",2013,6
"393","Jérémie_Bennequin+_UTF8.txt",2013,6
"394","Jeremy_Shaw+_UTF8.txt",2013,6
"395","Jeu-concours_fêtes_de_fin_d'année+_UTF8.txt",2013,1
"396","Joachim_Montessuis+_UTF8.txt",2013,4
"397","Johanne_Bouvier+_UTF8.txt",2013,5
"398","JR+_UTF8.txt",2013,5
"399","Julian_Charrière+_UTF8.txt",2013,6
"400","Julio_Le_Parc_et_Serge_Lemoine+_UTF8.txt",2013,5
"401","Justine_Pluvinage_-_Virile,_2013+_UTF8.txt",2013,4
"402","L’héritage_Painlevé+_UTF8.txt",2013,5
"403","La_Beauty_Box_j’écoute+_UTF8.txt",2013,3
"404","La_Chatte_-_Bastet+_UTF8.txt",2013,2
"405","La_Doublure+_UTF8.txt",2013,5
"406","La_forêt_des_totems+_UTF8.txt",2013,1
"407","La_Nuit_des_Musées_2013+_UTF8.txt",2013,1
"408","La_nuit_des_temps+_UTF8.txt",2013,5
"409","Lancement_d'Art_orienté_objet.txt",2013,6
"410","Lancement_de_la_revue_Le_Dictateur_n°4.txt",2013,3
"411","Lancement_de_Voyage_en_territoires_partagés.txt",2013,5
"412","Lancement_du_livre_""Micha_Laury""+_UTF8.txt",2013,5
"413","Le_Collège_international_de_philosophie+_UTF8.txt",2013,6
"414","LE_DICTATEUR.txt",2013,3
"415","Les_50_ans_de_France_Culture+_UTF8.txt",2013,3
"416","LES_MÉTIERS_D’ART_SE_METTENT_EN_SCÈNE_AU_PALAIS_DE_TOKYO.txt",2013,5
"417","Living_Architectures.txt",2013,3
"418","Marcos_Avila_Forero.txt",2013,6
"419","Mikhail_Rudy+_UTF8.txt",2013,5
"420","Moulages_de_chutes_libres_(2013)+_UTF8.txt",2013,5
